objectid,parentid,filename,title,piece_identifier,types,score_order,part_order,part_types,historical_background,physical_notes,key,tempo,premiere_date,creator,date,date is approximate,description,arrangement,subject,location,latitude,longitude,source,box,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
bukvich0001,,rockmus_sketches.pdf,Rock Music,rockmus,scores;parts;,concert handwritten score;,bass;guitar;,handwritten parts;,"This piece was written to help individual students study for their Geology exam. This course was taught by Mickey Gunter at the University of Idaho. Somebody mentioned that they were going to study for this test while leaving Jazz Choir, and wanted Bukvich to write a piece to facilitate their studies. This piece was performed at Gunter's reitrement and the piece was used as an extra credit assignment in Gunter's class for years. The piece contains a many ""I vi ii V"" progressions and contextual uses of minor progressions as these were topics discussed Bukvich's First Year theory class.","The manuscripts for this work are a choir score and handwritten lead sheet for bass and guitar. Three different scores (condensed piano score, condensed choir score, and full choir score) detail the lineage of this piece's composition. The full choir score was constructed by cutting and taping segments of the score from another sheet of manuscript paper.",,,,"Bukvich, Daniel",2008,yes,"Jazz Choir piece, can be played with or without percussion accompaniment.",Jazz Choir,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",2,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/rockmus_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/rockmus_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/rockmus_sketches_th.jpg
,bukvich0001,rockmus_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/rockmus_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/rockmus_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/rockmus_scores_th.jpg
bukvich0002,,nightpoem_sketches.pdf,Night Poem,nightpoem,aux;chart;scores;sketches;parts,transposed handwritten score;,alto saxophone;tenor saxophone;baritone saxophone;flugelhorn;trumpet;trombone;piano;guitar;bass;drums;,handwritten parts;,Composed for the New Hampshire All State Jazz Band. Was asked to write a ballad for the band fest.,"This big band piece is scored for a standard 5 saxophones, 4 trumpets (plus solo flugelhorn), 4 trombones, and rhtyhm section. In addition to the arranged big band version of this piece, there are also jazz combo parts for this work.",,,,"Bukvich, Daniel",2003,yes,Jazz band or combo piece. Scored for a flugelhorn soloist.,Jazz Band; Jazz Combo,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",8,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/nightpoem_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/nightpoem_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/nightpoem_sketches_th.jpg
,bukvich0002,nightpoem_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/nightpoem_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/nightpoem_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/nightpoem_aux_th.jpg
,bukvich0002,nightpoem_chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/nightpoem_chart.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/nightpoem_chart_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/nightpoem_chart_th.jpg
,bukvich0002,nightpoem_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/nightpoem_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/nightpoem_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/nightpoem_scores_th.jpg
,bukvich0002,nightpoem_parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/nightpoem_parts.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/nightpoem_parts_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/nightpoem_parts_th.jpg
bukvich0003,,towerwinds_sketches.pdf,Tower Winds,towerwinds,aux;scores;parts;sketches,concert handwritten score;,piccolo;flute;oboe;bassoon;clarinet;bass clarinet;alto saxophone;tenor saxophone;baritone saxophone;horn;trumpet;trombone;euphonium;tuba;timpani;percussion;,handwritten parts;,"Written in dedication to Russell Peck and his ingenuity and creativity for the piece ""Cave."" This piece is meant to be memorized and staged and optionally serve as a prelude to ""Cave."" This piece has been staged multiple times by both the University of Idaho (under the direction of Robert Spevacek) and University of New Hampshire (under the direction of Andrew Boyson). Similiar to ""Cave,"" all of the parts for this work are hand copied. The exigence of this piece was spurred by Andrew Boyson, who wanted Bukvich to write this with 2 goals in mind: to encourage people to listen to ""Cave,"" and to write a piece that seemed hard to execute but was easy to produce and learn.",This concert band piece involves movement across the stage and a unique ensemble arrangement on stage.,,,,"Bukvich, Daniel",2010,yes,Wind Ensemble,Wind Ensemble,,"Moscow, ID",46.72583715,-117.0077854,"Professor Daniel Bukvich Composition Archive, University of Idaho Special Collections & Archives",12,Text,,application/pdf,Professor Daniel Bukvich Composition Collection,Daniel Bukvich Library,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,compound,https://www.lib.uidaho.edu/digital/objects/bukvich/towerwinds_sketches.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/towerwinds_sketches_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/towerwinds_sketches_th.jpg
,bukvich0003,towerwinds_aux.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/towerwinds_aux.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/towerwinds_aux_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/towerwinds_aux_th.jpg
,bukvich0003,towerwinds_scores.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lib.uidaho.edu/digital/objects/bukvich/towerwinds_scores.pdf,https://www.lib.uidaho.edu/digital/objects/bukvich/small/towerwinds_scores_sm.jpg,https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/towerwinds_scores_th.jpg
