objectid,parentid,filename,title,description,creator,date,date is approximate,subject,location,location-address,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,object_thumb,object_location,reference_url
"bukvich0001","","rockmus_sketches.pdf","Rock Music","Jazz Choir piece, can be played with or without percussion accompaniment.","Bukvich, Daniel","2008","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/rockmus_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/rockmus_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0001.html"
"bukvich0002","","nightpoem_sketches.pdf","Night Poem","Jazz band or combo piece. Scored for a flugelhorn soloist.","Bukvich, Daniel","2003","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/nightpoem_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/nightpoem_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0002.html"
"bukvich0003","","towerwinds_sketches.pdf","Tower Winds","Wind Ensemble","Bukvich, Daniel","2010","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/towerwinds_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/towerwinds_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0003.html"
"bukvich0004","","agincourthymn_aux.pdf","Agincourt Hymn","Wind Ensemble","Bukvich, Daniel","1986-01-26","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng;lat","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/agincourthymn_aux_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/agincourthymn_aux.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0004.html"
"bukvich0005","","buffalojump_sketches.pdf","Buffalo Jump Ritual","Concert Band","Bukvich, Daniel","2000-08-10","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/buffalojump_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/buffalojump_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0005.html"
"bukvich0006","","flagday_sketches.pdf","Flag Day Parade","Concert Band","Bukvich, Daniel","","[maybe date from Facebook Group if Dan doesn&#39;t have it]","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/flagday_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/flagday_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0006.html"
"bukvich0007","","marchprelude_sketches.pdf","March Prelude to the Star Spangled Banner","Concert Band","Bukvich, Daniel","2012","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/marchprelude_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/marchprelude_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0007.html"
"bukvich0008","","hanukshep_sketches.pdf","Hanukkah Shepard&#39;s Song","String orchestra","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/hanukshep_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/hanukshep_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0008.html"
"bukvich0009","","threenativesongs_sketches.pdf","Three Native Songs","Concert band","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threenativesongs_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/threenativesongs_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0009.html"
"bukvich0010","","fivefanttoneag_sketches.pdf","Five Fantasies on the Tones A &amp; G for Brass Quintet","Brass quintet","Bukvich, Daniel","2019","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/fivefanttoneag_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/fivefanttoneag_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0010.html"
"bukvich0011","","harmdusoir_sketches.pdf","Harmonie du soir","Solo violin and piano","Bukvich, Daniel","2013","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng;fra","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/harmdusoir_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/harmdusoir_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0011.html"
"bukvich0012","","halfsongsaxpiano_sketches.pdf","Thee and One-Half Songs for Alto Saxophone and Piano","Solo alto saxophone and piano","Bukvich, Daniel","2020","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/halfsongsaxpiano_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/halfsongsaxpiano_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0012.html"
"bukvich0013","","sonataflpno_sketches.pdf","Sonata for Flute and Piano","Solo flute and piano","Bukvich, Daniel","2005-04","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/sonataflpno_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/sonataflpno_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0013.html"
"bukvich0014","","threeakhsongs_scores.pdf","Three Anna Akhmatova Songs","Solo voice and piano","Bukvich, Daniel","1996","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/threeakhsongs_scores_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/threeakhsongs_scores.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0014.html"
"bukvich0015","","tptsonata_sketches.pdf","Sonata for Trumpet and Piano","Solo trumpet and piano","Bukvich, Daniel","2008-04","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/tptsonata_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/tptsonata_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0015.html"
"bukvich0016","","light_sketches.pdf","Light","Choir","Bukvich, Daniel","2019","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/light_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/light_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0016.html"
"bukvich0017","","kineticcode_sketches.pdf","Kinetic Code","Piano and percussion","Bukvich, Daniel","1990","yes","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/kineticcode_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/kineticcode_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0017.html"
"bukvich0018","","lullanova_aux.pdf","Lullanova","Jazz combo","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/lullanova_aux_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/lullanova_aux.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0018.html"
"bukvich0019","","mainspring_sketches.pdf","Mainspring","Jazz combo","Bukvich, Daniel","","","","Moscow, ID","","46.72583715","-117.0077854","","","Text","","application/pdf","","Daniel Bukvich Library","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/bukvich/thumbs/mainspring_sketches_th.jpg","https://www.lib.uidaho.edu/digital/objects/bukvich/mainspring_sketches.pdf","https://uidaholib.github.io//bukvich-project/items/bukvich0019.html"
